chainage;advance;ring;easting;northing;tunnel_elev;surface_elev;soil_base_elev;soil_depth;lon;lat;tunnel_dir
571.01;220;233;119363.07;1214806.10;-0.26;94.16;58.40;35.60;10.846296601994;59.927889324769;294.33
572.81;221;234;119361.43;1214806.84;-0.26;94.13;58.39;35.61;10.846267285043;59.927896042091;294.33
574.61;222;235;119359.79;1214807.58;-0.25;94.09;58.38;35.62;10.846237966304;59.927902760320;294.33
576.41;223;236;119358.15;1214808.32;-0.24;94.08;58.47;35.53;10.846208649352;59.927909477643;294.33
578.21;224;237;119356.51;1214809.07;-0.23;94.04;58.70;35.30;10.846179330613;59.927916194965;294.33
580.01;225;238;119354.87;1214809.81;-0.23;94.03;58.88;35.12;10.846150013662;59.927922913194;294.33
581.81;226;239;119353.23;1214810.55;-0.22;93.99;59.21;34.79;10.846120694923;59.927929630516;294.33
583.61;227;240;119351.59;1214811.29;-0.21;93.94;59.55;34.45;10.846091377971;59.927936347839;294.33
585.41;228;241;119349.95;1214812.03;-0.20;93.93;59.72;34.28;10.846062061020;59.927943065162;294.33
587.21;229;242;119348.31;1214812.77;-0.20;93.94;60.11;33.89;10.846032742281;59.927949783390;294.33
589.01;230;243;119346.67;1214813.51;-0.19;94.03;60.54;33.46;10.846003425329;59.927956500713;294.33
590.81;231;244;119345.02;1214814.26;-0.18;94.06;60.74;33.26;10.845974106590;59.927963218036;294.33
592.61;232;245;119343.38;1214815.00;-0.17;94.04;61.17;32.83;10.845944789639;59.927969935358;294.33
594.41;233;246;119341.74;1214815.74;-0.17;93.99;61.62;32.38;10.845915470900;59.927976653587;294.33
596.21;234;247;119340.10;1214816.48;-0.16;93.96;61.85;32.15;10.845886153948;59.927983370909;294.33
598.01;235;248;119338.46;1214817.22;-0.15;93.95;62.29;31.71;10.845856835209;59.927990088232;294.33
599.81;236;249;119336.82;1214817.96;-0.15;93.95;62.50;31.50;10.845827518257;59.927996805555;294.33
601.61;237;250;119335.18;1214818.71;-0.14;94.00;63.01;30.99;10.845798199518;59.928003523783;294.33
603.41;238;251;119333.54;1214819.45;-0.13;94.06;63.42;30.58;10.845768882567;59.928010241106;294.33
605.21;239;252;119331.90;1214820.19;-0.12;94.05;63.62;30.38;10.845739563828;59.928016958429;294.33
607.01;240;253;119330.26;1214820.93;-0.12;94.06;64.03;29.98;10.845710246876;59.928023675751;294.33
608.81;241;254;119328.62;1214821.67;-0.11;93.86;64.43;29.57;10.845680928137;59.928030393980;294.33
610.61;242;255;119326.98;1214822.41;-0.10;93.81;64.64;29.36;10.845651611186;59.928037111302;294.33
612.41;243;256;119325.34;1214823.15;-0.09;93.78;64.90;29.10;10.845622292447;59.928043828625;294.33
614.21;244;257;119323.70;1214823.90;-0.09;93.82;65.17;28.83;10.845592975495;59.928050545948;294.33
616.01;245;258;119322.06;1214824.64;-0.08;93.76;65.29;28.61;10.845563656756;59.928057264176;294.33
617.81;246;259;119320.42;1214825.38;-0.07;93.71;65.56;28.21;10.845534339805;59.928063981499;294.33
619.61;247;260;119318.78;1214826.12;-0.06;93.66;65.71;27.91;10.845505022853;59.928070698822;294.33
621.41;248;261;119317.14;1214826.86;-0.06;93.57;66.01;27.46;10.845475704114;59.928077416144;294.33
623.21;249;262;119315.50;1214827.60;-0.05;93.50;66.15;27.18;10.845446387163;59.928084134373;294.33
625.01;250;263;119313.86;1214828.35;-0.04;93.33;66.25;26.96;10.845417068424;59.928090851695;294.33
626.81;251;264;119312.22;1214829.09;-0.03;93.04;66.47;26.57;10.845387751472;59.928097569018;294.33
